Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
AFFAIRE SOCIEDAD ANÓNIMA DEL UCIEZA c. ESPAGNE,38963/08,HFJUD,Court (Third Section),20/12/2016,Dommage matériel et préjudice moral - réparation (Article 41 - Préjudice moral;Dommage matériel;Satisfaction équitable)
CASE OF SOCIEDAD ANÓNIMA DEL UCIEZA v. SPAIN,38963/08,HEJUD,Court (Third Section),20/12/2016,Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction)
CASE OF SOCIEDAD ANÓNIMA DEL UCIEZA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,38963/08,HJUDSPA,Court (Third Section),20/12/2016,Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction)
CASE OF CANO MOYA v. SPAIN,3142/11,HEJUD,Court (Third Section),11/10/2016,Remainder inadmissible;Violation of Article 34 - Individual applications (Article 34 - Hinder the exercise of the right of petition);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE IGLESIAS CASARRUBIOS ET CANTALAPIEDRA IGLESIAS c. ESPAGNE,23298/12,HFJUD,Court (Third Section),11/10/2016,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Procès équitable)
CASE OF IGLESIAS CASARRUBIOS AND CANTALAPIEDRA IGLESIAS v. SPAIN,23298/12,HEJUD,Court (Third Section),11/10/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing)
AFFAIRE CANO MOYA c. ESPAGNE,3142/11,HFJUD,Court (Third Section),11/10/2016,Partiellement irrecevable;Violation de l'article 34 - Requêtes individuelles (Article 34 - Entraver l'exercice du droit de recours);Préjudice moral - constat de violation suffisant (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF IGLESIAS CASARRUBIOS AND CANTALAPIEDRA IGLESIAS v. SPAIN  - [Spanish Translation] by the Spanish Ministry of Justice,23298/12,HJUDSPA,Court (Third Section),11/10/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing)
CASE OF CANO MOYA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,3142/11,HJUDSPA,Court (Third Section),11/10/2016,Remainder inadmissible;Violation of Article 34 - Individual applications (Article 34 - Hinder the exercise of the right of petition);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF HERNANDEZ ROYO v. SPAIN - [Croatian Translation] summary by the Republic of Croatia (Office of the Agent) ,16033/12,HJUDHRV,Court (Third Section),20/09/2016,No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
AFFAIRE HERNANDEZ ROYO c. ESPAGNE,16033/12,HFJUD,Court (Third Section),20/09/2016,Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable)
CASE OF HERNANDEZ ROYO v. SPAIN,16033/12,HEJUD,Court (Third Section),20/09/2016,No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
CASE OF HERNANDEZ ROYO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,16033/12,HJUDSPA,Court (Third Section),20/09/2016,No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
AFFAIRE FLORES QUIROS c. ESPAGNE,75183/10,HFJUD,Court (Third Section),19/07/2016,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure d'exécution;Article 6-1 - Accès à un tribunal)
CASE OF FLORES QUIROS v. SPAIN,75183/10,HEJUD,Court (Third Section),19/07/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court)
CASE OF FLORES QUIROS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,75183/10,HJUDSPA,Court (Third Section),19/07/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court)
AFFAIRE ALDEGUER TOMÁS c. ESPAGNE,35214/09,HFJUD,Court (Third Section),14/06/2016,Non-violation de l'article 14+8 - Interdiction de la discrimination (Article 14 - Discrimination) (Article 8 - Droit au respect de la vie privée et familiale;Article 8-1 - Respect de la vie familiale;Respect de la vie privée)
CASE OF ALDEGUER TOMÁS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,35214/09,HJUDSPA,Court (Third Section),14/06/2016,No violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8-1 - Respect for family life;Respect for private life;Article 8 - Right to respect for private and family life)
CASE OF JIMÉNEZ LOSANTOS v. SPAIN,53421/10,HEJUD,Court (Third Section),14/06/2016,Violation of Article 10 - Freedom of expression -{General} (Article 10-1 - Freedom of expression)
CASE OF ALDEGUER TOMÁS v. SPAIN,35214/09,HEJUD,Court (Third Section),14/06/2016,No violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for family life;Respect for private life)
AFFAIRE JIMÉNEZ LOSANTOS c. ESPAGNE,53421/10,HFJUD,Court (Third Section),14/06/2016,Violation de l'article 10 - Liberté d'expression-{Générale} (Article 10-1 - Liberté d'expression)
CASE OF JIMÉNEZ LOSANTOS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,53421/10,HJUDSPA,Court (Third Section),14/06/2016,Violation of Article 10 - Freedom of expression -{General} (Article 10-1 - Freedom of expression)
CASE OF ALDEGUER TOMÁS v. SPAIN - [Romanian Translation] legal summary by the Supreme Court of Justice of the Republic of Moldova,35214/09,HJUDRUM,Court (Third Section),14/06/2016,No violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8-1 - Respect for family life;Respect for private life;Article 8 - Right to respect for private and family life)
CASE OF ALDEGUER TOMÁS v. SPAIN - [Azerbaijani Translation] summary by EU/COE ‘Partnership for Good Governance’ (PGG),35214/09,HJUDAZE,Court (Third Section),14/06/2016,No violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8-1 - Respect for family life;Respect for private life;Article 8 - Right to respect for private and family life)
CASE OF BEORTEGUI MARTINEZ v. SPAIN,36286/14,HEJUD,Court (Third Section),31/05/2016,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect)
CASE OF BEORTEGUI MARTINEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,36286/14,HJUDSPA,Court (Third Section),31/05/2016,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect)
AFFAIRE BEORTEGUI MARTINEZ c. ESPAGNE,36286/14,HFJUD,Court (Third Section),31/05/2016,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête efficace) (Volet procédural);Non-violation de l'article 3 - Interdiction de la torture (Article 3 - Traitement dégradant) (Volet matériel)
AFFAIRE GÓMEZ OLMEDA c. ESPAGNE,61112/12,HFJUD,Court (Third Section),29/03/2016,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable);Dommage matériel - demande rejetée (Article 41 - Dommage matériel;Satisfaction équitable);Préjudice moral - réparation (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF GÓMEZ OLMEDA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,61112/12,HJUDSPA,Court (Third Section),29/03/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF GÓMEZ OLMEDA v. SPAIN,61112/12,HEJUD,Court (Third Section),29/03/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF PÉREZ MARTÍNEZ v. SPAIN,26023/10,HEJUD,Court (Third Section),23/02/2016,No violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information on nature and cause of accusation;Article 6 - Right to a fair trial);No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
CASE OF PÉREZ MARTÍNEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,26023/10,HJUDSPA,Court (Third Section),23/02/2016,No violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information on nature and cause of accusation;Article 6 - Right to a fair trial);No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
AFFAIRE PÉREZ MARTÍNEZ c. ESPAGNE,26023/10,HFJUD,Court (Third Section),23/02/2016,Non-violation de l'article 6+6-3-a - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable) (Article 6 - Droit à un procès équitable;Article 6-3-a - Information sur la nature et la cause de l'accusation);Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable)
CASE OF VLIEELAND BODDY AND MARCELO LANNI v. SPAIN,53465/11;9634/12,HEJUD,Court (Third Section),16/02/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-2 - Presumption of innocence)
CASE OF VLIEELAND BODDY AND MARCELO LANNI v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,53465/11;9634/12,HJUDSPA,Court (Third Section),16/02/2016,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-2 - Presumption of innocence)
AFFAIRE VLIEELAND BODDY ET MARCELO LANNI c. ESPAGNE,53465/11;9634/12,HFJUD,Court (Third Section),16/02/2016,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-2 - Présomption d'innocence)
CASE OF RODRIGUEZ RAVELO v. SPAIN,48074/10,HEJUD,Court (Third Section),12/01/2016,Violation of Article 10 - Freedom of expression -{General} (Article 10-1 - Freedom of expression)
CASE OF RODRIGUEZ RAVELO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,48074/10,HJUDSPA,Court (Third Section),12/01/2016,Violation of Article 10 - Freedom of expression -{General} (Article 10-1 - Freedom of expression)
AFFAIRE RODRIGUEZ RAVELO c. ESPAGNE,48074/10,HFJUD,Court (Third Section),12/01/2016,Violation de l'article 10 - Liberté d'expression-{Générale} (Article 10-1 - Liberté d'expression)
AFFAIRE BLESA RODRÍGUEZ c. ESPAGNE,61131/12,HFJUD,Court (Third Section),01/12/2015,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Tribunal impartial)
CASE OF BLESA RODRÍGUEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,61131/12,HJUDSPA,Court (Third Section),01/12/2015,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal)
CASE OF BLESA RODRÍGUEZ v. SPAIN,61131/12,HEJUD,Court (Third Section),01/12/2015,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal)
CASE OF ARRATIBEL GARCIANDIA v. SPAIN,58488/13,HEJUD,Court (Third Section),05/05/2015,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
CASE OF ARRATIBEL GARCIANDIA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,58488/13,HJUDSPA,Court (Third Section),05/05/2015,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
AFFAIRE ARRATIBEL GARCIANDIA c. ESPAGNE,58488/13,HFJUD,Court (Third Section),05/05/2015,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête efficace) (Volet procédural)
AFFAIRE JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) c. ESPAGNE,45892/09,HFJUD,Court (Third Section),21/04/2015,Partiellement irrecevable;Non-violation de l'article 11 - Liberté de réunion et d'association (Article 11-1 - Liberté d'association);Non-violation de l'article 14+11 - Interdiction de la discrimination (Article 14 - Discrimination) (Article 11 - Liberté de réunion et d'association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN,45892/09,HEJUD,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,45892/09,HJUDSPA,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,45892/09,HJUDCZE,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland,45892/09,HJUDICE,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,45892/09,HJUDTUR,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN - [Italian Translation] legal summary by Diritti d'Europa ,45892/09,HJUDITA,Court (Third Section),21/04/2015,Remainder inadmissible;No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);No violation of Article 14+11 - Prohibition of discrimination (Article 14 - Discrimination) (Article 11 - Freedom of assembly and association)
AFFAIRE ARRIBAS ANTON c. ESPAGNE,16563/11,HFJUD,Court (Third Section),20/01/2015,Partiellement irrecevable;Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure constitutionnelle;Article 6-1 - Accès à un tribunal)
CASE OF ARRIBAS ANTON v. SPAIN,16563/11,HEJUD,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
CASE OF ARRIBAS ANTON v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,16563/11,HJUDSPA,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
CASE OF ARRIBAS ANTON v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,16563/11,HJUDTUR,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
CASE OF ARRIBAS ANTON v. SPAIN - [Italian Translation] legal summary by Diritti d’Europa,16563/11,HJUDITA,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
CASE OF ARRIBAS ANTON v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),16563/11,HJUDGER,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
CASE OF ARRIBAS ANTON v. SPAIN - [Romanian translation] by the SCM Romania and IER,16563/11,HJUDRUM,Court (Third Section),20/01/2015,Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Access to court)
AFFAIRE SOCIEDAD ANÓNIMA DEL UCIEZA c. ESPAGNE,38963/08,HFJUD,Court (Third Section),04/11/2014,Exception préliminaire rejetée (Article 35-1 - Délai de six mois);Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Accès à un tribunal);Violation de l'article 1 du Protocole n° 1 - Protection de la propriété (article 1 al. 1 du Protocole n° 1 - Respect des biens);Préjudice moral - décision réservée;Dommage matériel - décision réservée
CASE OF SOCIEDAD ANÓNIMA DEL UCIEZA v. SPAIN,38963/08,HEJUD,Court (Third Section),04/11/2014,Preliminary objection dismissed (Article 35-1 - Six month period);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Non-pecuniary damage - reserved;Pecuniary damage - reserved
CASE OF SOCIEDAD ANÓNIMA DEL UCIEZA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,38963/08,HJUDSPA,Court (Third Section),04/11/2014,Preliminary objection dismissed (Article 35-1 - Six month period);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Pecuniary damage - reserved;Non-pecuniary damage - reserved
CASE OF SOCIEDAD ANÓNIMA DEL UCIEZA v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,38963/08,HJUDTUR,Court (Third Section),04/11/2014,Preliminary objection dismissed (Article 35-1 - Six month period);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Pecuniary damage - reserved;Non-pecuniary damage - reserved
AFFAIRE ETXEBARRIA CABALLERO c. ESPAGNE,74016/12,HFJUD,Court (Third Section),07/10/2014,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête efficace) (Volet procédural);Non-violation de l'article 3 - Interdiction de la torture (Article 3 - Traitement dégradant;Traitement inhumain) (Volet matériel)
AFFAIRE ATAUN ROJO c. ESPAGNE,3344/13,HFJUD,Court (Third Section),07/10/2014,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête efficace) (Volet procédural)
CASE OF ATAUN ROJO v. SPAIN,3344/13,HEJUD,Court (Third Section),07/10/2014,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
CASE OF ETXEBARRIA CABALLERO v. SPAIN,74016/12,HEJUD,Court (Third Section),07/10/2014,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect)
CASE OF ETXEBARRIA CABALLERO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,74016/12,HJUDSPA,Court (Third Section),07/10/2014,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect)
CASE OF ATAUN ROJO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,3344/13,HJUDSPA,Court (Third Section),07/10/2014,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Armenian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDARM,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Armenian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDARM,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,56030/07,HJUDSPA,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Albanian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDALB,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Albanian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDALB,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Bosnian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDBOS,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Georgian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDGEO,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Georgian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDGEO,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Macedonian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDMAC,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Macedonian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDMAC,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Serbian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDSRP,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Ukrainian Translation] by the COE Human Rights Trust Fund,56030/07,HJUDUKR,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Ukrainian Translation] legal summary by the COE Human Rights Trust Fund,56030/07,HJUDUKR,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Ukrainian Translation] by OSCE Ukraine,56030/07,HJUDUKR,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Swedish Translation] by the Swedish National Courts Administration,56030/07,HJUDSWE,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Croatian Translation] by the Republic of Croatia (Office of the Agent),56030/07,HJUDHRV,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Croatian Translation] summary by the Republic of Croatia (Office of the Agent) ,56030/07,HJUDHRV,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN,56030/07,HEJUD,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
AFFAIRE FERNÁNDEZ MARTÍNEZ c. ESPAGNE,56030/07,HFJUD,Court (Grand Chamber),12/06/2014,Non-violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie privée)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,56030/07,HJUDTUR,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),56030/07,HJUDGER,Court (Grand Chamber),12/06/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
AFFAIRE DE LA FLOR CABRERA c. ESPAGNE,10764/09,HFJUD,Court (Third Section),27/05/2014,Non-violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie privée)
CASE OF DE LA FLOR CABRERA v. SPAIN,10764/09,HEJUD,Court (Third Section),27/05/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF DE LA FLOR CABRERA v. SPAIN - [Spanish Translation] summary by the Spanish Ministry of Justice,10764/09,HJUDSPA,Court (Third Section),27/05/2014,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
AFFAIRE A.C. ET AUTRES c. ESPAGNE,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HFJUD,Court (Third Section),22/04/2014,Exception préliminaire jointe au fond et rejetée (Article 35-1 - Epuisement des voies de recours internes);Partiellement irrecevable;Violation de l'article 13 - Droit à un recours effectif (Article 13 - Recours effectif);Etat défendeur tenu de prendre des mesures individuelles (Article 46-2 - Mesures individuelles)
CASE OF A.C. AND OTHERS v. SPAIN,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HEJUD,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
