y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009
1820;1731;1781;1712;1692;1676;1638;1651;1651;1652;1538;1534;1555;1538;1455;1194;1496;1401;1187
1945;1858;1850;1796;1809;1745;1751;1785;1795;1658;1666;1588;1609;1634;1629;1449;1316;1471;1521
2099;1992;2005;1919;1872;1953;1863;1908;1926;1849;1781;1847;1754;1636;1770;1702;1564;1371;1616
2194;2239;2130;2089;2021;2011;2080;2004;1986;1947;1987;1885;1941;1820;1773;1771;1849;1644;1408
2272;2271;2301;2237;2198;2227;2125;2211;2094;2123;2073;2035;1983;1981;1974;1840;1901;1923;1705
2319;2355;2493;2416;2416;2311;2259;2305;2401;2230;2208;2182;2224;2083;2174;2042;1981;2036;2040
2564;2363;2531;2577;2601;2532;2520;2521;2477;2418;2358;2350;2307;2291;2222;2150;2184;2039;2136
2719;2621;2569;2617;2651;2746;2685;2682;2704;2506;2520;2459;2538;2321;2477;2282;2440;2267;2216
2742;2774;2789;2630;2752;2852;2937;2872;2840;2722;2679;2735;2624;2624;2578;2471;2527;2536;2441
3037;2894;2899;2823;2743;2908;2973;3164;3038;2899;2824;2826;2896;2767;2797;2615;2689;2569;2668
3128;3130;3055;2981;3081;2893;3104;3221;3337;3089;3055;3056;2973;2997;2949;2872;2783;2808;2773
3253;3256;3237;3185;3143;3117;2963;3204;3236;3324;3148;3175;3205;3060;3176;2948;3062;2996;2982
3298;3401;3290;3317;3212;3269;3227;3246;3342;3345;3387;3374;3338;3269;3358;3228;3159;3205;3098
3508;3266;3405;3300;3466;3390;3346;3460;3328;3434;3448;3554;3518;3447;3571;3300;3399;3326;3354
3509;3397;3510;3500;3538;3456;3556;3481;3516;3256;3481;3584;3771;3590;3613;3509;3455;3508;3496
3574;3460;3434;3435;3478;3490;3636;3596;3606;3556;3350;3525;3682;3717;3726;3602;3752;3698;3668
3450;3475;3444;3499;3454;3496;3502;3647;3562;3516;3570;3400;3689;3731;3875;3680;3797;3693;3642
3254;3347;3391;3473;3400;3406;3557;3605;3647;3547;3592;3660;3444;3679;3671;3816;3784;3832;3745
3200;3185;3250;3342;3362;3375;3492;3426;3512;3540;3581;3620;3653;3410;3609;3681;3868;3784;3793
2959;3087;3157;3215;3228;3267;3334;3285;3432;3518;3548;3584;3600;3628;3365;3508;3671;3873;3819
2881;2825;2969;3029;3156;3099;3127;3165;3147;3335;3372;3482;3431;3414;3528;3366;3465;3565;3807
2597;2639;2677;2812;2712;2895;2999;3040;2945;3061;3161;3129;3263;3276;3310;3400;3116;3426;3585
2261;2556;2441;2539;2586;2598;2676;2718;2790;2762;2889;2842;2898;3118;3062;3104;3132;3056;3354
2076;2099;2185;2293;2255;2287;2419;2412;2434;2513;2605;2583;2776;2822;2834;3044;2969;3096;2942
1773;1915;1847;2032;1993;2035;2052;1999;2078;2331;2297;2334;2289;2537;2463;2826;2788;2740;2856
1386;1595;1687;1721;1792;1677;1808;1765;1718;1945;2050;2047;1947;2205;2204;2457;2464;2669;2600
1266;1271;1345;1435;1364;1560;1416;1419;1400;1598;1707;1665;1665;1810;1867;2211;2123;2332;2279
1017;1094;1081;1132;1190;1254;1360;1270;1113;1310;1295;1393;1352;1548;1481;1740;1685;1845;1958
841;942;883;928;912;1001;1092;1033;960;1134;1143;1062;1112;1231;1176;1365;1412;1429;1521
556;721;659;724;648;714;814;782;804;849;823;881;850;917;905;1047;1096;1195;1272
413;427;474;558;570;516;607;550;507;674;693;670;623;768;714;892;827;943;892
321;341;280;409;341;390;371;367;366;486;586;530;439;557;526;672;627;645;637
240;248;220;238;238;222;246;220;251;307;369;417;362;414;399;485;474;480;572
414;594;548;470;541;401;383;383;400;638;784;808;717;1011;873;1231;1063;1152;1356
