X1,X2,X3,X4,X5,X6
Jose Oriol González Martinez,"Buzoneo Directo, gerente, Barcelona",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Josefina Valls i Vila,"Generalitat, gobernación, AA PP, directora servicios",Testigo,Aceptado,NA,Borrás
Josep Fort Padró,NA,Testigo,Aceptado,NA,Sánchez
Josep Ginesta,"Diputado autonómico, ERC",Testigo,Aceptado,Vox,NA
Josep Grima Galvez,NA,Testigo,Aceptado,NA,Sánchez
Josep Guilio Colls,"Mossos, sindicato de mandos de la escala intermedia",Testigo,Aceptado,NA,Forn
Josep Joventeny i Vergés,NA,Testigo,Aceptado,NA,Sánchez
Josep Lluís Torres Simón,NA,Testigo,Aceptado,NA,Sánchez
Josep Lluis Trapero Álvarez,"Mossos, Mayor del cuerpo",Testigo,Aceptado,Vox,"Sánchez, Cuixart, Forn"
Josep Mª Cervero Plubins,"Socio de ANC y Omnium Cultural, pegada carteles",Testigo,Aceptado,Vox,Cuixart
Josep María Estela Ribes,"Mossos, intendente jefe",Testigo,Aceptado,NA,Forn
Josep Marimon Rovira,NA,Testigo,Aceptado,NA,Sánchez
Josep Solá Font,"Generalitat, empresa y conocimiento, director de servicios",testigo,Aceptado,NA,Vila
Josue Sallent,"CTTI, Director de Estrategia",Testigo,Aceptado,Vox,NA
Juan Angulo Arrese,"CTTI, Director",Testigo,Aceptado,NA,Turull
Juan Antonio Puigserver Martínez,"secretario general técnico, Interior",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva, Forn"
Juan Carlos Molinero Juncá,"Mossos, comisario superior",Testigo,Aceptado,Vox,"Junqueras, Romeva, Forn"
Juliá Fernández i Olivares,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Kartik Raj,"Human Rights Watch, autor informe",Testigo,Rechazado,NA,Cuixart
Lars Aslan Rasmussen,"Dinamarca, delegaciones, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
Laura Castel i Fort,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Lluis Corominas Diaz,"Parlament, vicepresidente",Testigo,Aceptado,NA,Forcadell
Lluis Guinó Subirós,"Parlament, mesa, vicepresidente primero",Testigo,Aceptado,NA,Forcadell
Lluis Llach i Grande,Testigo 20-S,Testigo,Aceptado,Vox,"Junqueras, Romeva, Sánchez"
Lluis Luncá Pujol,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Lluis Matamala Ribó,"Abogado, 1-O",Testigo,Aceptado,NA,Cuixart
Lluis Peris Lleonart,NA,Testigo,Aceptado,NA,Sánchez
Luis Salvadó Tenesa,"Generalitat, Hacienda, secretario",Testigo,Aceptado,Vox,Forn
M. del Toro López,"Letrada administración justicia, instrucción nº13, Barcelona",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva"
Mª Dolors Prats Llort,NA,Testigo,Aceptado,NA,Sánchez
Mª Pilar Rodríguez Catoira,NA,Testigo,Aceptado,NA,Sánchez
Magdalena Clarena Davant,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Maite Aymerich Bolta,"Alcaldesa, Sant Vicenç dels Horts",Testigo,Aceptado,NA,"Junqueras, Romeva"
Mannon Massé,"Quebec Solidaire, diputada, observadora internacional 1-O",Testigo,Aceptado,NA,Cuixart
Manuel Castellví del Peral,"Comisario Jefe, Mossos, Información",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva, Forn"
Marc Bosch de Doria,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Marc Molledo i Vall-llosera,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Marc Puigtió i Rebollo,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Marga Borras Bargalló,NA,Testigo,Aceptado,NA,Sánchez
María del Carme Rallo i Casanovas,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
María del Carmen Tejera Gimeno,"Funcionario, Hacienda, fondos públicos",Perito,Aceptado,Fiscalía,NA
María Guadalupe Prades Fonts,NA,Testigo,Aceptado,NA,Sánchez
María Jesús Martí i Serret,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
María Luisa Carrillo Mingonance,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
María Rosa Arboix Sagarruy,NA,Testigo,Aceptado,NA,Sánchez
Mariano Rajoy Brey,"ex Presidente del Gobierno, PP",Testigo,Aceptado,Vox,NA
Marina Garcés Mascañeras,"En Peu de Pau, miembro",Testigo,Aceptado,NA,Cuixart
Marta Pascal,"PDeCat, coordinadora general",Testigo,Aceptado,Vox,NA
Marta Rovira i Vergés,NA,Testigo,Rechazado,NA,"Junqueras, Romeva, Forcadell"
Martí Carreras Planas,NA,Testigo,Aceptado,NA,Sánchez
Martí Olivella i Solé,NA,Testigo,Aceptado,NA,Sánchez
Matías Ramos Rey,Periodista,Perito,Rechazado,NA,Cuixart
Melcior Marcó i Alberti,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Merce Alegre Roca-Ribas,NA,Testigo,Aceptado,NA,Sánchez
Mercé Arderiu Usart,"Parlament, letrada",Testigo,Aceptado,NA,Forcadell
Merce Corretja Torrens,"Generalitat, contratación pública, directora general",Testigo,Aceptado,NA,"Turull, Borrás, Mundó, Vila"
Merck Torras Palá,"Abogada, 1-O",Testigo,Aceptado,NA,Cuixart
Meritxel Ruiz Isern,"Generalitat, ex consejera, Presidencia",Testigo,Aceptado,Vox,NA
Meritxell Masó i Carbó,"Generalitat, gobernación, AA PP, secretaria general",Testigo,Aceptado,NA,Borrás
Michel Forst,"Relator especial, ONU",Testigo,Rechazado,NA,Cuixart
Miguel Ángel Estradé i Palau,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Mil Luisa Martínez Olivera,"ANC, voluntaria",Testigo,Aceptado,NA,Cuixart
Miquel Bernat Laporta Granados,NA,Testigo,Aceptado,NA,Sánchez
Mireia Boya,"Diputada, Parlament, CUP",Testigo,Aceptado,NA,"Sánchez, Cuixart"
Miriam Camp Figueras,NA,Testigo,Aceptado,NA,Sánchez
Montserrat Higueras Tobajas,NA,Testigo,Aceptado,NA,Sánchez
Montserrat Rusiñol,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Montserrat Vintró Feliu,"Generalitat, justicia, subdirectora general, gestión económica",Testigo,Aceptado,NA,Mundó
Nemesio Fuentes Pulido,NA,Testigo,Aceptado,NA,Sánchez
Neus Lloveras i Massana,"Asociación de Municipios por la Independencia, presidenta",Testigo,Aceptado,Vox,NA
Neus Munté Fernández,"ex consejera de Presidencia, PDeCat",Testigo,Aceptado,"Fiscalía, Abogacía, Vox",NA
Nils Muizenieks,"Consejo de Europa, derechos humanos, comisario",Testigo,Rechazado,NA,Cuixart
Noam Chomsky,"Lingüista, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Nuria Cuenca i León,"Generalitat, educación, secretaria general",Testigo,Aceptado,NA,Turull
Nuria de Gispert,"Parlament, ex presidenta",Testigo,Aceptado,NA,Forcadell
Nuria Llorach i Boladeras,"Vicepresidenta, CCMA",Testigo,Aceptado,"Fiscalía, Abogacía",Turull
Nuria Riera Capdevila,NA,Testigo,Aceptado,NA,Sánchez
Olga Solanas García,"Directora, Focus Media SL, Barcelona",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Pablo Reventós Saenz,"Administrador, Unipost",Testigo,Aceptado,"Fiscalía, Abogacía, Vox",NA
Paco Gas i Ferré,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Pau Villoria Sistach,"Generalitat, empresa y conocimiento, secretario general",Testigo,Aceptado,NA,Vila
Paul Preston,"Historiador, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Paul Sinning,"Director, Hague Centre for Strategic Studies",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Pedro Buil Armengol,"Capitán, Marina Mercante, Puerto de Palamós",Testigo,Aceptado,"Fiscalía, Abogacía",Rull
Pere Aragonés i Garcia,"Generalitat, Economía, secretario",Testigo,Aceptado,Vox,NA
Pere Font i Barceló,NA,Testigo,Aceptado,NA,Sánchez
Pere García Quer,"Sindicato Autónomo de Policía, secretario general",Testigo,Aceptado,NA,Forn
Pere Miralles,"ANC, responsable organización",Testigo,Aceptado,NA,Sánchez
Pere Sitjá Rius,NA,Testigo,Aceptado,NA,Sánchez
Pere Sol Ordis,"Parlament, letrado",Testigo,Aceptado,NA,Forcadell
Pere Soler Campins,"Mossos, ex Director General",Testigo,Aceptado,Vox,NA
Peter Jambrek,"Sociólogo, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Pilar Calderon i Vila,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Pilar Rahola,NA,Testigo,Rechazado,Vox,NA
Príncipe Zeid Ra'ad Al Hussein,"ONU, derecho humanos, ex alto comisionado",Testigo,Rechazado,NA,Cuixart
Quim Franquesa Padrós,"Estudiante informática, socio de V.N. Ripollés",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Rafael Martín López,NA,Testigo,Aceptado,NA,Sánchez
