"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"44608","North Africa","June 30, 2015","2015","Jun","2","","2","","","","","Dehydration","Sahara Desert between Niamey, Niger and Subratha, Libya","MHub","15.712389863732, 4.981830712500","","","Northern Africa","2"
"41030","US-Mexico Border","June 29, 2015","2015","Jun","1","","1","","","1","","Unknown (skeletal remains)","Imperial County, CA","Entravision","33.024950500000, -115.845024500000","Central America to US","http://bit.ly/2ayUenC","Uncategorized","1"
"41053","Europe","June 29, 2015","2015","Jun","1","","1","","1","","","Vehicle Accident","A16 between Calais and Marck, France","Calais Migrant Solidarity","49.610700000000, 2.109380000000","Calais to United Kingdom","http://bit.ly/1DPsGT2","Western Europe","4"
"40583","US-Mexico Border","June 28, 2015","2015","Jun","1","","1","","","1","","Exposure","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40617","US-Mexico Border","June 27, 2015","2015","Jun","1","","1","","","1","","Hyperthermia","GPS: N32.66653 W115.76090, 4 mi south of Drew Road, Seeley, CA","Imperial County Coroner's Office","32.749080400000, -115.771138100000","Central America to US","","Uncategorized","5"
"40920","US-Mexico Border","June 27, 2015","2015","Jun","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40856","Europe","June 26, 2015","2015","Jun","1","","1","","","1","","Train Accident","French entrance to Channel Tunnel, France","The Guardian","46.227638000000, 2.213749000000","Calais to United Kingdom","http://bit.ly/1KNxevI","Western Europe","1"
"41068","Central America","June 26, 2015","2015","Jun","9","","9","6","","","","Vehicle Accident","Municipality of Jalapa. About 55 km south east of Villahermosa, Tabasco while crossing the San Marcos River, Mexico","El Universo","17.721200000000, -92.813900000000","Central America to US","http://bit.ly/1glFaYh","Central America","1"
"40360","US-Mexico Border","June 25, 2015","2015","Jun","1","","1","","","1","","Drowning","All American Canal, Calexico CA","Imperial County Coroner's Office","32.668685000000, -115.493137300000","Central America to US","","Uncategorized","5"
"40721","Mediterranean","June 25, 2015","2015","Jun","1","","1","","1","","","Hypoglycemia","Unspecified location between Egypt and Italy","Action Group for Palestinians of Syria","35.128838500000, 18.902833900000","Central Mediterranean","http://actionpal.org.uk","Uncategorized","4"
"40359","Mediterranean","June 23, 2015","2015","Jun","6","","6","66","1","","","Drowning","3.2 kilometers from the resort city of Bodrum, near Kara Ada, en route to Kos","Anadolu Agency and Today's Zaman, Action Group for Palestinian of Syria","37.005900000000, 27.419600000000","Eastern Mediterranean","http://bit.ly/1IbWNVk, http://bit.ly/1CqKrm6","Uncategorized","4"
"40689","Mediterranean","June 23, 2015","2015","Jun","1","","1","","","","","Shot","Off the coast of Libya","IOM Rome and Breitbart","34.234500000000, 14.743700000000","Central Mediterranean","http://bit.ly/1PkI3I5","Uncategorized","4"
"40582","US-Mexico Border","June 22, 2015","2015","Jun","1","","1","","","1","","Exposure","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40358","US-Mexico Border","June 21, 2015","2015","Jun","1","","1","","","1","","Drowning","Rio Bravo, Mexico","Contacto","26.037909700000, -98.086004100000","Central America to US","http://bit.ly/1mSBY9T","Central America","1"
"40698","Horn of Africa","June 21, 2015","2015","Jun","1","","1","","","","","Shot, Stabbed","Jigiga, Ethiopia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","9.355286000000, 42.795288000000","","","Eastern Africa","2"
"40541","Mediterranean","June 20, 2015","2015","Jun","","22","22","","","","","Drowning","Boat left from the coast of Al Hoceima, Morocco. Search called off after 2 days with no sign","Asociación Pro Derechos Humanos de Andalucía","35.352515000000, -3.976368000000","Western Mediterranean","http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf","Uncategorized","3"
"40581","US-Mexico Border","June 20, 2015","2015","Jun","1","","1","","","1","","Exposure","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40724","Sub-Saharan Africa","June 19, 2015","2015","Jun","2","","2","","","","","Sickness and lack of access to medicines","Mozambique","Mixed Migration Monitoring Mechanism Initiative (4Mi)","-18.563171000000, 35.002686000000","","","Eastern Africa","2"
"40643","US-Mexico Border","June 18, 2015","2015","Jun","1","","1","","","1","","Hypothermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40669","Europe","June 18, 2015","2015","Jun","1","","1","","","1","","Plane stowaway","Heathrow Airport, UK","The Guardian","51.471150000000, -0.456487000000","","http://bit.ly/1Rgw7b9, http://bit.ly/1Bs6I7M","Northern Europe","3"
"40919","US-Mexico Border","June 18, 2015","2015","Jun","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"41036","US-Mexico Border","June 18, 2015","2015","Jun","1","","1","19","1","","","Vehicle Accident","Encinitas, California, San Diego County","CTV News","32.591521000000, -117.120961700000","Central America to US","http://bit.ly/1I8WLh9","Uncategorized","1"
"40357","Mediterranean","June 17, 2015","2015","Jun","3","","3","","","3","","Drowning","","IOM Italy","34.981478400000, 23.490953900000","Central Mediterranean","","Uncategorized","4"
"40642","US-Mexico Border","June 17, 2015","2015","Jun","1","","1","","","1","","Hypothermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40918","US-Mexico Border","June 17, 2015","2015","Jun","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40636","US-Mexico Border","June 16, 2015","2015","Jun","1","","1","","1","","","Hypothermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40641","US-Mexico Border","June 16, 2015","2015","Jun","1","","1","","","1","","Hypothermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40852","Central America","June 16, 2015","2015","Jun","1","","1","","","1","","Train Accident","Venustiano Carranza Avenue. Colony Rubén Jaramillo, Monterrey, Mexico","Noticiero Televisa","25.695667000000, -100.329018000000","Central America to US","http://bit.ly/2fFsxuy","Central America","1"
"40917","US-Mexico Border","June 16, 2015","2015","Jun","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40299","North Africa","June 15, 2015","2015","Jun","15","","15","","","","","Dehydration","Near Dirkou, northeast of Agadez, Niger","IOM Niger","19.000389000000, 12.894990000000","","","Northern Africa","4"
"40671","Central America","June 14, 2015","2015","Jun","5","","5","","","","","Presumed drowning","Darien Gap, Río Turquesa, Bajo Chiquito, Panama","Ghana Web and Critica.com","7.738711600000, -77.986971100000","Central America to US","http://bit.ly/2gnXhxU, http://bit.ly/2gbBe1q","Central America","3"
"40640","US-Mexico Border","June 13, 2015","2015","Jun","1","","1","","","1","","Hypothermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40916","US-Mexico Border","June 10, 2015","2015","Jun","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40616","US-Mexico Border","June 08, 2015","2015","Jun","1","","1","","","1","","Hyperthermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40915","US-Mexico Border","June 08, 2015","2015","Jun","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40297","North Africa","June 03, 2015","2015","Jun","18","","18","","1","17","","Dehydration","Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","IOM Niger","19.387730500000, 5.714761600000","","http://bit.ly/1N2FLsN","Northern Africa","4"
"40298","North Africa","June 03, 2015","2015","Jun","","","0","","","","","Dehydration","Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","IOM Niger","20.145079000000, 7.404254000000","","","Northern Africa","4"
"40300","North Africa","June 03, 2015","2015","Jun","","","0","","","","","Dehydration","Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","IOM Niger","19.387730500000, 5.714761600000","","","Northern Africa","4"
"40914","US-Mexico Border","June 03, 2015","2015","Jun","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"41111","Central America","June 02, 2015","2015","Jun","3","","3","117","","","","Violence","Sonora, Mexico","AFP","29.376662500000, -113.982345600000","Central America to US","http://yhoo.it/1eCOIh5","Central America","1"
"40304","North Africa","June 01, 2015","2015","Jun","2","","2","","","","","Dehydration, Starvation","Sahara Desert between Agadez, Niger and Libya","MHub","20.084053000000, 10.741789000000","","","Northern Africa","2"
"40614","US-Mexico Border","June 01, 2015","2015","Jun","1","","1","","1","","","Hyperthermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40615","US-Mexico Border","June 01, 2015","2015","Jun","1","","1","","","1","","Hyperthermia","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40664","North Africa","June 01, 2015","2015","Jun","1","","1","","","","","Murdered","Sahara Desert between Agadez, Niger and Libya","MHub","19.075158000000, 8.024068000000","","","Northern Africa","2"
"40837","Southeast Asia","June 01, 2015","2015","Jun","","60","60","","","","","Mixed","Bay of Bengal and Andaman Sea","UNHCR","10.010819000000, 94.999996000000","","http://www.unhcr.org/554c6a746.html","South-eastern Asia","4"
"40913","North Africa","June 01, 2015","2015","Jun","1","","1","","","","","Unknown","Sahara Desert between Agadez, Niger and Libya","MHub","20.084053000000, 10.741789000000","","","Northern Africa","2"
"41099","North Africa","June 01, 2015","2015","Jun","1","","1","","","","","Violence","Sahara Desert between Agadez, Niger and Libya","MHub","19.075158000000, 8.024068000000","","","Northern Africa","2"
"40690","Central America","May 31, 2015","2015","May","1","","1","","","1","","Shot","La Rumorosa, Baja California, Mexico","El mexicano.com","32.602038000000, -116.079468000000","Central America to US","http://bit.ly/291fuQ9","Central America","1"
"41067","Europe","May 31, 2015","2015","May","1","","1","","","1","","Vehicle Accident","A16 Highway at the entrance to the Eurotunnel, France","Calais Migrants Solidarity ","49.610700000000, 1.406250000000","Calais to United Kingdom","http://bit.ly/1DPsGT2","Western Europe","4"
"44607","North Africa","May 31, 2015","2015","May","1","","1","","","","","Vehicle Accident","Sahara Desert, between Agadez, Niger and Tripoli, Libya","MHub","24.026731964107, 13.154260888876","","","Northern Africa","2"
"40285","Mediterranean","May 30, 2015","2015","May","17","8","25","454","","","","Burned, Drowning","Central Med","IOM Italy","35.050314391584, 18.113846750000","Central Mediterranean","","Uncategorized","4"
"40912","US-Mexico Border","May 30, 2015","2015","May","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40355","US-Mexico Border","May 28, 2015","2015","May","8","","8","","","","","Drowning","Rio Grande, Mexican side of border","Hoy Tamaulipas","29.085434600000, -100.863546900000","Central America to US","http://bit.ly/2bFuntl","Central America","1"
"40356","US-Mexico Border","May 28, 2015","2015","May","","1","1","","","1","","Drowning","Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas","27.469219000000, -99.549635600000","Central America to US","http://bit.ly/2bFuntl","Central America","1"
"40910","US-Mexico Border","May 28, 2015","2015","May","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40911","US-Mexico Border","May 28, 2015","2015","May","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40608","South America","May 27, 2015","2015","May","1","","1","","","1","","Cardiac arrest","Turbo, Urabá, Antioquía, Colombia","Diario de Cuba & El Colombiano","8.086946369365, -76.728381218555","Darien Gap","http://bit.ly/2ljaeuB, http://bit.ly/1AtwmbP, http://bit.ly/2jXjmDU","South America","3"
"40587","Mediterranean","May 26, 2015","2015","May","1","","1","","","1","1","Fall from boat","Rocks near the port of Melilla, Spain","Asociación Pro Derechos Humanos de Andalucía","35.880463000000, -5.320930000000","Western Mediterranean","http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf","Uncategorized","3"
"40588","Central America","May 26, 2015","2015","May","1","","1","","","1","","Fall from boat","Ramos Arizpe. On way to Laredo, Tamaulipas, Mexico","El Siglo","26.213257000000, -100.156984000000","Central America to US","http://bit.ly/20rhPXZ","Central America","1"
"40909","Southeast Asia","May 26, 2015","2015","May","2","","2","","","1","","Unknown","Indonesia","IOM Indonesia","13.498141000000, 89.487406000000","","","South-eastern Asia","4"
"40354","Mediterranean","May 25, 2015","2015","May","5","","5","25","","","","Drowning","off coast of Kafr el-Sheikh, Egypt","Le Figaro","38.324300000000, 26.288780000000","Central Mediterranean","http://bit.ly/1AqSSCy","Uncategorized","1"
"41031","Southeast Asia","May 25, 2015","2015","May","106","","106","","","","","Unknown","28 abandoned human trafficking camps scattered along a 50 km stretch of the Malaysia border with Thailand (Wang Kelian site)","Fortify Rights","6.444910000000, 100.578535000000","","http://bit.ly/1PPmCyf, https://bit.ly/2CFh7kN, https://reut.rs/2uHQDLj","South-eastern Asia","3"
"40353","Southeast Asia","May 24, 2015","2015","May","47","","47","","","","","Drowning","Rakhine State, Myanmar","Press TV","19.810093000000, 93.987842700000","","http://bit.ly/1ALHt0f","South-eastern Asia","1"
"40301","North Africa","May 23, 2015","2015","May","1","","1","","","","","Dehydration, Harsh conditions","Brega, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","30.410095000000, 19.569885000000","","","Northern Africa","2"
"40352","Mediterranean","May 23, 2015","2015","May","5","","5","49","","","","Drowning","Teboulba","Business Stanard","35.643960100000, 10.946793900000","Central Mediterranean","http://www.business-standard.com/article/pti-stories/5-italy-bound-tunisian-migrants-drown-49-rescued-in-med-115052300647_1.html","Uncategorized","1"
"40908","US-Mexico Border","May 22, 2015","2015","May","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40755","Horn of Africa","May 21, 2015","2015","May","1","","1","","","","","Dehydration","Kismayo, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","-0.353821000000, 42.545288000000","","","Eastern Africa","2"
"40838","Mediterranean","May 21, 2015","2015","May","1","","1","","","1","1","Suffocation","Unknown - Central Med","IOM Rome ","35.309949500000, 13.479818300000","Central Mediterranean","","Uncategorized","4"
"40351","Sub-Saharan Africa","May 20, 2015","2015","May","8","","8","8","5","3","","Drowning","Nosy Be (Northern Madagascar)","LINFO.re","-13.315018600000, 48.259260600000","","http://bit.ly/1g8tisr","Eastern Africa","1"
