word,n,p,username,rank
📺,921,1.3243795116620172,ahorapodemos,1
🔊,3141,4.556135770234987,ondacero_es,1
gracias,69,0.5455839329485254,linagalvezmunoz,1
catalunya,128,0.871578373961596,jessicaalbiach,1
vigo,268,3.2095808383233533,angelesmarra,1
debate,2,1.1428571428571428,inibaran,1
📺entrevista,280,1.6667658789213644,joanbaldovi,1
personas,3,6.976744186046512,dioufluc,1
barcelona,217,1.4785037814267221,manuelvalls,1
avui,13,1.4301430143014302,caroltelechea,1
gràcies,55,1.0683760683760684,bassamontse,1
gobierno,93,1.0386419477328568,martaglezvzqz,1
catalunya,42,0.6254653760238272,yolandapodem,1
https//youtube/5tpkiql0jy4 ,1,50,olgaalonso62,1
serveis,29,1.1056042699199389,mariasirvnt,1
dl,24,0.6655574043261231,ramon_espadaler,1
llibertat,23,1.3855421686746987,morraltoni,1
gobierno,140,0.6436781609195402,joninarritu,1
abrazo,1,16.666666666666664,carlossm_cs,1
cultura,42,0.5062680810028929,jnndiaz,1
https//twittercom/psoe/status/1192192179961303040?s=20 …,2,22.22222222222222,asanchog,1
información,3252,1.272290514158731,eleconomistaes,1
gobierno,84,2.0182604517059106,mapaniagua,1
govern,21,0.7021063189568706,eniubo,1
•,73,4.432301153612629,cnlacoba,1
social,6,1.5,patri_blanquer,1
pp,18,3.3271719038817005,borrego_corte,1
gracias,94,2.6053215077605323,nasholop,1
gracias,251,1.0487173059246262,macarena_olona,1
gracias,46,1.2306046013911183,fuensantalima,1
sitges,110,1.9257703081232493,mrodriguez_cs,1
gobierno,36,1.4657980456026058,elviraramon,1
llibertat,49,1.1361001623000233,martavilaltat,1
that,8006,0.8801080842203854,abc,1
comunitat,105,1.2070352914128062,isabelbonig,1
salud,157,1.3248945147679325,luisacarcedo,1
gente,168,2.340158796489762,mayoralrafa,1
llibertat,62,0.6895017793594307,msanglas,1
gobierno,78,1.2271869100062933,j_sanchez_serna,1
gobierno,2300,1.533404892228304,psoe,1
españa,2687,0.8760404406610568,elespanolcom,1
españaviva,323,5.197940135178629,ortega_smith,1
–,12,0.9925558312655087,germanrenau,1
granada,100,2.9638411381149967,carlosrojas_ppa,1
do,61,0.9264884568651276,antongomezreino,1
portodoloquenosune,119,1.6337177375068643,andreslorite,1
valls,109,1.4130152968628467,rosa_m_ibarra,1
gobierno,198,0.935285781766651,pnique,1
vox,1122,2.3986659825551566,vox_es,1
NA,NA,NA,anabotellapsoe,1
cataluña,28,0.8807801195344448,asancfisac,1
bideobloga,26,1.0865022983702466,aitor_esteban,1
madrid,271,1.6370665700132898,ierrejon,1
ley,4,3.149606299212598,mikellegarda,1
asturias,24,1.165614375910636,morissiero,1
/❤️,171,1.751510806104681,gomezdcelis,1
país,40,0.7729468599033816,lucas_ferro_,1
psc,27,3.2886723507917175,jruizcarbonell,1
psoe,6,1.1787819253438114,jangelvillalon,1
persones,120,0.6811989100817438,monicaoltra,1
españa,253,1.3435292868142956,josepborrellf,1
barcelona,1635,0.8618463014406275,elperiodico_cat,1
gracias,59,1.816502463054187,rosaliavt,1
illes,213,0.9155777166437414,f_armengol,1
gobierno,19,2.1229050279329607,belitagl,1
drets,46,0.6167046520981365,susannasegovia,1
canarias,174,1.8018018018018018,anazurita7,1
gracias,11,1.3819095477386936,mjmonteroc,1
compañeros,13,1.5222482435597189,carmenderivera,1
anys,11,2.933333333333333,conceptermens,1
españa,7,3.167420814479638,marianorajoy,1
latevadecisió,97,0.6473571809930592,mespermallorca,1
españa,123,0.9340826245443499,luisgestoso,1
leonesp,141,2.374536881104749,alfonsocendon,1
cataluña,80,0.7558578987150416,raulmorenom,1
españa,57,1.5493340581679804,patxilopez,1
ahoragobierno,6,1.466992665036675,evapatriciab,1
pictwittercom/aeajw5ufdy,1,100,alfons_me,1
directe],5181,0.7195063861225952,vilaweb,1
salut,13,1.6624040920716114,aescarp,1
28a,9,2.1686746987951806,cuatrecasasjuan,1
ue,117,1.5184944841012329,jflopezaguilar,1
españa,94,1.7986988136241868,luisplanas,1
ánimo!!!,1,3.8461538461538463,sisenlluita,1
santander,421,2.3013009729966107,pedro_casares,1
cataluña,206,0.754136769658808,beasilva9,1
!!,1,5.88235294117647,maraluisavilch1,1
do,89,3.567134268537074,celsodelgadoou,1
españa,10,1.4947683109118086,carmenandres_,1
elcatalán,1419,2.4610208293588167,elcatalan_es,1
nosurrender,48,1.263157894736842,albertbatet,1
pp,15,1.7543859649122806,crisestebanvox,1
cataluña,56,1.036653091447612,jsolercs,1
avui,56,1.0445812348442454,rogertorrent,1
drets,362,0.7828211837467292,cupnacional,1
estimampalma,149,3.748427672955975,toninoguera,1
mañana,1,14.285714285714285,apabellas,1
+,3,2.34375,llsalvado,1
gracias,192,0.8072653884964682,mariadelamiel,1
españa,1422,0.5109006510210827,elconfidencial,1
barcelona,89,2.056852322625376,escofetmerce,1
orgullo,15,1.2942191544434858,felipe_sicilia,1
europa,147,0.789685737308622,rodriguezpinero,1
avuí,25,0.8756567425569177,najat_driouech,1
país,31,0.834679590737749,adrilastra,1
años,1207,0.834889672822854,telecincoes,1
luxonomist,16,1.532567049808429,mariogarcessan,1
málaga,62,1.2689316414244782,carolinaespanar,1
cataluña,87,0.7970682546953733,noemi_delacalle,1
cataluña,100,1.4465499783017504,nmartinblanco,1
catalunya,34,1.0725552050473186,jterrades,1
gràcies,62,1.4065335753176045,martarosiq,1
santisteban,37,4.115684093437152,alcaldejdr,1
país,10,0.7668711656441718,nvillagrasa,1
lleida,29,1.1590727418065547,gemmaespigares,1
años,2618,0.4796690320322906,lavanguardia,1
justicia,156,1.029227419674078,loladelgadog,1
santacoloma,50,1.3404825737265416,dimasciudadano,1
gente,11,1.67427701674277,mariaramallov,1
psoe,98,1.837614850928183,alejandrosolerm,1
españaenmarcha,66,4.411764705882353,mcmartinez_cs,1
pp,3539,0.6199136079707682,eldiarioes,1
gente,272,1.2516681238783305,gloriaelizo,1
drets,10,1.7761989342806392,maciagou,1
partido,4,2.072538860103627,mdelaoredondo,1
caza,24,4.819277108433735,a_lopezmaraver,1
quiero,8,2.168021680216802,caminofernndez,1
gobierno,123,1.9928710304601427,isabel_franco_,1
gracias,29,0.9071004066312168,gmariscalanaya,1
boadilla,265,2.2969576146311868,aglezterol,1
ibiza,18,0.7512520868113522,miqueljerez,1
d’espanya,2,7.142857142857142,atarressincro,1
sabadell,41,1.2037580739870817,arandapaco,1
reto,21,1.0091302258529553,luisstamaria,1
catalunya,13,0.7931665649786455,pachameb,1
mollerussa,80,5.544005544005544,solsona_marc,1
gràcies,24,1.9736842105263157,forcadellcarme,1
avui,34,0.5645027394985888,joanmargall,1
personas,117,0.8134037819799776,monicasilvanag,1
palencia,86,1.8193357309075522,milamarcos,1
españa,81,1.859931113662457,juanjoaizcorbe,1
asturias,18,1.3888888888888888,jonasfernandez,1
flix,71,1.246926589392343,normapujol,1
not,4,1.0443864229765014,domenecd,1
educación,13,2.3255813953488373,guillermomeijon,1
psc,10,2.2172949002217295,joansabadell,1
avui,21,1.5849056603773584,castellatoni,1
gobierno,32,1.3781223083548666,antonia_jover_,1
🇪🇺,34,0.674737051002183,aliciahoms,1
gràcies,112,0.6365444728616084,krls,1
españa🇪🇸🇪🇸,69,4.328732747804266,cfdezrocysua,1
madrid,87,1.1521652761223677,martamhigueras,1
asturias,100,1.7689722271360337,palomagazquez,1
pp,17,1.2743628185907045,estherpadillar,1
huelva,12,6.557377049180328,josluisramosro2,1
educación,49,1.192504258943782,luzseijo,1
león,30,2.371541501976284,josemiguel_glez,1
derecha,2,6.666666666666667,antidiofagundez,1
gobierno,505,0.7817942565214027,elpais_espana,1
scc,399,1.0317809211036695,societatcc,1
