Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1908  107      1800        0.97        0.00        0.97
 1908  108      1800        0.76        0.00        0.76
 1908  108      1799        0.59        0.00        0.59
 1908  109      1799        0.46        0.00        0.46
 1908  109      1798        0.35        0.00        0.35
 1908  110+        .        0.27        0.00        0.27
 1909    0      1909    29634.91    36398.64    66033.55
 1909    0      1908    15014.92    19052.77    34067.69
 1909    1      1908    12124.86    12895.78    25020.64
 1909    1      1907     8882.00     9432.82    18314.82
 1909    2      1907     5191.65     5550.86    10742.51
 1909    2      1906     5073.31     5366.73    10440.04
 1909    3      1906     2991.34     3105.85     6097.19
 1909    3      1905     2923.16     3002.82     5925.98
 1909    4      1905     2030.55     2023.31     4053.86
 1909    4      1904     1984.26     1956.20     3940.46
 1909    5      1904     1250.71     1330.59     2581.30
 1909    5      1903     1278.21     1315.07     2593.28
 1909    6      1903     1068.36     1042.07     2110.43
 1909    6      1902     1091.84     1029.92     2121.76
 1909    7      1902      673.92      717.25     1391.17
 1909    7      1901      688.73      708.88     1397.61
 1909    8      1901      490.57      496.32      986.89
 1909    8      1900      501.36      490.53      991.89
 1909    9      1900      367.68      413.10      780.78
 1909    9      1899      375.76      408.28      784.04
 1909   10      1899      351.14      349.29      700.43
 1909   10      1898      382.29      361.76      744.05
 1909   11      1898      320.92      317.27      638.19
 1909   11      1897      349.39      328.60      677.99
 1909   12      1897      321.88      327.12      649.00
 1909   12      1896      350.43      338.80      689.23
 1909   13      1896      344.90      311.85      656.75
 1909   13      1895      375.50      322.98      698.48
 1909   14      1895      400.07      346.34      746.41
 1909   14      1894      435.56      358.70      794.26
 1909   15      1894      412.01      340.55      752.56
 1909   15      1893      447.66      365.50      813.16
 1909   16      1893      487.88      379.25      867.13
 1909   16      1892      530.10      407.03      937.13
 1909   17      1892      512.37      472.61      984.98
 1909   17      1891      556.71      507.23     1063.94
 1909   18      1891      568.55      565.97     1134.52
 1909   18      1890      617.75      607.43     1225.18
 1909   19      1890      474.44      541.78     1016.22
 1909   19      1889      515.49      581.47     1096.96
 1909   20      1889      564.66      614.33     1178.99
 1909   20      1888      595.60      606.20     1201.80
 1909   21      1888      523.70      545.68     1069.38
 1909   21      1887      552.40      538.45     1090.85
 1909   22      1887      698.26      696.11     1394.37
 1909   22      1886      736.53      686.89     1423.42
 1909   23      1886      609.52      640.08     1249.60
 1909   23      1885      642.92      631.60     1274.52
 1909   24      1885      638.77      615.85     1254.62
 1909   24      1884      673.78      607.69     1281.47
 1909   25      1884      629.00      590.40     1219.40
 1909   25      1883      659.50      571.96     1231.46
 1909   26      1883      633.89      537.42     1171.31
 1909   26      1882      664.63      520.64     1185.27
 1909   27      1882      548.30      517.56     1065.86
 1909   27      1881      574.89      501.39     1076.28
 1909   28      1881      688.19      577.16     1265.35
 1909   28      1880      721.56      559.13     1280.69
 1909   29      1880      468.57      438.09      906.66
 1909   29      1879      491.29      424.41      915.70
 1909   30      1879      897.47      650.16     1547.63
 1909   30      1878      939.11      642.58     1581.69
 1909   31      1878      406.38      392.42      798.80
 1909   31      1877      425.24      387.84      813.08
 1909   32      1877      650.70      580.56     1231.26
 1909   32      1876      680.89      573.78     1254.67
 1909   33      1876      581.17      545.25     1126.42
 1909   33      1875      608.14      538.89     1147.03
 1909   34      1875      612.02      523.05     1135.07
 1909   34      1874      640.42      516.95     1157.37
 1909   35      1874      613.98      593.22     1207.20
 1909   35      1873      650.48      609.26     1259.74
 1909   36      1873      660.68      550.67     1211.35
 1909   36      1872      699.97      565.56     1265.53
 1909   37      1872      466.56      488.33      954.89
 1909   37      1871      494.31      501.53      995.84
 1909   38      1871      632.95      597.67     1230.62
 1909   38      1870      670.59      613.83     1284.42
 1909   39      1870      415.48      460.63      876.11
 1909   39      1869      440.18      473.08      913.26
 1909   40      1869     1037.67      896.85     1934.52
 1909   40      1868     1098.49      940.46     2038.95
 1909   41      1868      349.46      383.81      733.27
 1909   41      1867      369.94      402.47      772.41
 1909   42      1867      609.36      676.56     1285.92
 1909   42      1866      645.08      709.45     1354.53
 1909   43      1866      427.33      536.55      963.88
 1909   43      1865      452.38      562.63     1015.01
 1909   44      1865      558.74      631.03     1189.77
 1909   44      1864      591.49      661.71     1253.20
 1909   45      1864      683.20      826.95     1510.15
 1909   45      1863      723.53      877.98     1601.51
 1909   46      1863      568.85      694.64     1263.49
 1909   46      1862      602.43      737.51     1339.94
 1909   47      1862      445.74      625.56     1071.30
 1909   47      1861      472.05      664.17     1136.22
 1909   48      1861      631.62      831.33     1462.95
 1909   48      1860      668.91      882.63     1551.54
 1909   49      1860      452.55      640.64     1093.19
 1909   49      1859      479.26      680.18     1159.44
 1909   50      1859     1190.46     1190.08     2380.54
 1909   50      1858     1267.32     1262.01     2529.33
 1909   51      1858      422.70      547.10      969.80
 1909   51      1857      449.99      580.16     1030.15
 1909   52      1857      684.28      843.04     1527.32
 1909   52      1856      728.46      893.99     1622.45
 1909   53      1856      515.88      659.53     1175.41
 1909   53      1855      549.19      699.40     1248.59
 1909   54      1855      770.67      884.41     1655.08
 1909   54      1854      820.43      937.86     1758.29
 1909   55      1854      848.55      995.51     1844.06
 1909   55      1853      905.87     1054.42     1960.29
 1909   56      1853      844.67      998.44     1843.11
 1909   56      1852      901.73     1057.51     1959.24
 1909   57      1852      624.66      774.88     1399.54
 1909   57      1851      666.85      820.73     1487.58
 1909   58      1851      944.50     1038.37     1982.87
 1909   58      1850     1008.30     1099.81     2108.11
